Item,Valor,Tags,Mês,Data
,,,Abril (https://www.notion.so/Abril-d652fc98b25b4849814b0e31158f83c5?pvs=21),"September 16, 2024"
,,,Agosto (https://www.notion.so/Agosto-dbb3d0de074d4cc9bbafa7c9db5c1fc4?pvs=21),"September 16, 2024"
,,,Dezembro (https://www.notion.so/Dezembro-aeb2b28b828047c287fbf37f571f17d9?pvs=21),"September 16, 2024"
Aluguel,2500,Aluguel/Moradia,Fevereiro (https://www.notion.so/Fevereiro-4f4f570343a74a1f8520e453a84bdd94?pvs=21),"September 16, 2024"
Papelaria,120,Utilitários,Janeiro (https://www.notion.so/Janeiro-6eaf21be2ec148e6a6726e2c073595a5?pvs=21),"September 16, 2024"
Pizza,25,Refeições fora de casa,Janeiro (https://www.notion.so/Janeiro-6eaf21be2ec148e6a6726e2c073595a5?pvs=21),"September 16, 2024"
Roupa de academia,200,Vestuário,Janeiro (https://www.notion.so/Janeiro-6eaf21be2ec148e6a6726e2c073595a5?pvs=21),"September 16, 2024"
Aluguel,2500,Aluguel/Moradia,Janeiro (https://www.notion.so/Janeiro-6eaf21be2ec148e6a6726e2c073595a5?pvs=21),"September 16, 2024"
,,,Julho (https://www.notion.so/Julho-a773d364269c468a8a97fcc29c7075b6?pvs=21),"September 16, 2024"
,,,Junho (https://www.notion.so/Junho-800c13566b67475aad89ff70d8ed39d9?pvs=21),"September 16, 2024"
,,,Maio (https://www.notion.so/Maio-0a3b0bfd0b1849c9bb90ebdfdac65e04?pvs=21),"September 16, 2024"
,,,Novembro (https://www.notion.so/Novembro-a197b64e07e2434bad6c24ecd64bd46f?pvs=21),"September 16, 2024"
,,,Outubro (https://www.notion.so/Outubro-4e662e23ca124892b4cfcf9f9e37cafb?pvs=21),"September 16, 2024"
,,,Setembro (https://www.notion.so/Setembro-1d094b4da17540dda6df5a13bfc13c8d?pvs=21),"September 16, 2024"
